2017-18 Rank,Rank in the most recent five years,Trend,School Name,City,2017-18 Rating,2017-18 Rating by Percent,Rating in the most recent five years,Waterloo Adjustment,,
20/738,n/a,NO CHANGE,Jean-Vanier,Kirkland Lake,8.7,87.00%,n/a,16.3,64.37%,75.68%
24/738,14/625,NO CHANGE,Bur Oak,Markham,8.6,86.00%,8.7,16.3,64.37%,75.18%
24/738,35/625,UPTREND,Garth Webb,Oakville,8.6,86.00%,8.2,16.3,64.37%,75.18%
24/738,39/625,NO CHANGE,St. Thomas Aquinas,Russell,8.6,86.00%,8.1,16.3,64.37%,75.18%
29/738,24/625,NO CHANGE,John McCrae,Nepean,8.5,85.00%,8.5,16.3,64.37%,74.68%
29/738,n/a,NO CHANGE,Ange-Gabriel,Brockville,8.5,85.00%,n/a,16.3,64.37%,74.68%
32/738,24/625,NO CHANGE,St Marcellinus,Mississauga,8.4,84.00%,8.5,16.3,64.37%,74.18%
32/738,29/625,NO CHANGE,Etobicoke-Arts,Toronto,8.4,84.00%,8.4,16.3,64.37%,74.18%
32/738,34/625,NO CHANGE,White Oaks,Oakville,8.4,84.00%,8.3,16.3,64.37%,74.18%
32/738,35/625,NO CHANGE,Aurora,Aurora,8.4,84.00%,8.2,16.3,64.37%,74.18%
32/738,n/a,NO CHANGE,The Woodlands,Mississauga,8.4,84.00%,n/a,16.3,64.37%,74.18%
38/738,24/625,NO CHANGE,Earl Haig,Toronto,8.3,83.00%,8.5,16.3,64.37%,73.68%
38/738,49/625,NO CHANGE,St Benedict,Sudbury,8.3,83.00%,8,16.3,64.37%,73.68%
38/738,57/625,NO CHANGE,John F Ross,Guelph,8.3,83.00%,7.9,16.3,64.37%,73.68%
38/738,100/625,UPTREND,South Carleton,Richmond,8.3,83.00%,7.5,16.3,64.37%,73.68%
38/738,184/625,UPTREND,Saint-Charles-Garnier,Whitby,8.3,83.00%,7,16.3,64.37%,73.68%
38/738,334/625,UPTREND,Collège Français,Toronto,8.3,83.00%,6.1,16.3,64.37%,73.68%
45/738,24/625,NO CHANGE,St Michael,Kemptville,8.2,82.00%,8.5,16.3,64.37%,73.18%
45/738,n/a,NO CHANGE,Bill Hogarth,Markham,8.2,82.00%,n/a,16.3,64.37%,73.18%
45/738,n/a,NO CHANGE,Donald A. Wilson,Whitby,8.2,82.00%,n/a,16.3,64.37%,73.18%
49/738,14/625,NO CHANGE,Abbey Park,Oakville,8.1,81.00%,8.7,16.3,64.37%,72.68%
49/738,39/625,NO CHANGE,Leaside,Toronto,8.1,81.00%,8.1,16.3,64.37%,72.68%
49/738,39/625,NO CHANGE,Richmond Green,Richmond Hill,8.1,81.00%,8.1,16.3,64.37%,72.68%
49/738,57/625,NO CHANGE,Sir John A Macdonald,Waterloo,8.1,81.00%,7.9,16.3,64.37%,72.68%
49/738,66/625,NO CHANGE,Jeunes sans frontières,Brampton,8.1,81.00%,7.8,16.3,64.37%,72.68%
