2017-18 Rank,Rank in the most recent five years,Trend,School Name,City,2017-18 Rating,2017-18 Rating by Percent,Rating in the most recent five years,Waterloo Adjustment,,
225/738,356/625,UPTREND,Centre Dufferin,Shelburne,7,70.00%,6,16.3,64.37%,67.18%
225/738,n/a,NO CHANGE,Cobourg,Cobourg,7,70.00%,n/a,16.3,64.37%,67.18%
225/738,n/a,NO CHANGE,Dunbarton,Pickering,7,70.00%,n/a,16.3,64.37%,67.18%
248/738,100/625,DOWNTREND,Garneau,Gloucester,6.9,69.00%,7.5,16.3,64.37%,66.68%
248/738,163/625,DOWNTREND,Stouffville,Stouffville,6.9,69.00%,7.1,16.3,64.37%,66.68%
248/738,184/625,NO CHANGE,Père-René-de-Galinée,Cambridge,6.9,69.00%,7,16.3,64.37%,66.68%
248/738,214/625,NO CHANGE,St Patrick,Toronto,6.9,69.00%,6.8,16.3,64.37%,66.68%
248/738,229/625,NO CHANGE,Franco-Ouest,Nepean,6.9,69.00%,6.7,16.3,64.37%,66.68%
248/738,264/625,UPTREND,Hearst,Hearst,6.9,69.00%,6.5,16.3,64.37%,66.68%
248/738,301/625,NO CHANGE,Sacred Heart,Walkerton,6.9,69.00%,6.3,16.3,64.37%,66.68%
248/738,314/625,NO CHANGE,Peninsula Shores,Wiarton,6.9,69.00%,6.2,16.3,64.37%,66.68%
248/738,372/625,NO CHANGE,Beamsville,Beamsville,6.9,69.00%,5.9,16.3,64.37%,66.68%
248/738,372/625,NO CHANGE,St Joseph's,St Thomas,6.9,69.00%,5.9,16.3,64.37%,66.68%
248/738,n/a,NO CHANGE,Brampton Centennial,Brampton,6.9,69.00%,n/a,16.3,64.37%,66.68%
248/738,n/a,NO CHANGE,Castlebrooke,Brampton,6.9,69.00%,n/a,16.3,64.37%,66.68%
248/738,n/a,NO CHANGE,Henry Street,Whitby,6.9,69.00%,n/a,16.3,64.37%,66.68%
248/738,n/a,NO CHANGE,Mayfield,Caledon,6.9,69.00%,n/a,16.3,64.37%,66.68%
266/738,75/625,NO CHANGE,Our Lady of Mount Carmel,Mississauga,6.8,68.00%,7.7,16.3,64.37%,66.18%
266/738,129/625,NO CHANGE,Gisèle-Lalonde,Orléans,6.8,68.00%,7.3,16.3,64.37%,66.18%
266/738,148/625,NO CHANGE,Centennial,Welland,6.8,68.00%,7.2,16.3,64.37%,66.18%
266/738,148/625,NO CHANGE,St Joseph,Mississauga,6.8,68.00%,7.2,16.3,64.37%,66.18%
266/738,184/625,NO CHANGE,Waterdown,Waterdown,6.8,68.00%,7,16.3,64.37%,66.18%
266/738,214/625,NO CHANGE,Holy Trinity,Cornwall,6.8,68.00%,6.8,16.3,64.37%,66.18%
266/738,229/625,NO CHANGE,St John's,Brantford,6.8,68.00%,6.7,16.3,64.37%,66.18%
266/738,264/625,NO CHANGE,Senator O'Connor,Toronto,6.8,68.00%,6.5,16.3,64.37%,66.18%
266/738,n/a,NO CHANGE,Anderson,Whitby,6.8,68.00%,n/a,16.3,64.37%,66.18%
276/738,129/625,DOWNTREND,Bluevale,Waterloo,6.7,67.00%,7.3,16.3,64.37%,65.68%
276/738,129/625,NO CHANGE,Northern,Sarnia,6.7,67.00%,7.3,16.3,64.37%,65.68%
276/738,163/625,DOWNTREND,John Cabot,Mississauga,6.7,67.00%,7.1,16.3,64.37%,65.68%
276/738,214/625,NO CHANGE,Nicholson,Belleville,6.7,67.00%,6.8,16.3,64.37%,65.68%
276/738,214/625,NO CHANGE,Waterloo-Oxford,Baden,6.7,67.00%,6.8,16.3,64.37%,65.68%
276/738,264/625,NO CHANGE,Preston,Cambridge,6.7,67.00%,6.5,16.3,64.37%,65.68%
276/738,314/625,UPTREND,Chippewa,North Bay,6.7,67.00%,6.2,16.3,64.37%,65.68%
276/738,372/625,NO CHANGE,Renfrew,Renfrew,6.7,67.00%,5.9,16.3,64.37%,65.68%
276/738,n/a,NO CHANGE,Sir Wilfrid Laurier,Orléans,6.7,67.00%,n/a,16.3,64.37%,65.68%
286/738,100/625,NO CHANGE,Jeanne-Lajoie,Pembroke,6.6,66.00%,7.5,16.3,64.37%,65.18%
286/738,129/625,DOWNTREND,Georgetown,Georgetown,6.6,66.00%,7.3,16.3,64.37%,65.18%
286/738,163/625,NO CHANGE,Michael Power/St Joseph,Toronto,6.6,66.00%,7.1,16.3,64.37%,65.18%
286/738,214/625,NO CHANGE,Charlottenburgh and Lancaster,Williamstown,6.6,66.00%,6.8,16.3,64.37%,65.18%
286/738,214/625,NO CHANGE,Orangeville,Orangeville,6.6,66.00%,6.8,16.3,64.37%,65.18%
286/738,214/625,NO CHANGE,St. Roch,Brampton,6.6,66.00%,6.8,16.3,64.37%,65.18%
286/738,229/625,NO CHANGE,Highland,Dundas,6.6,66.00%,6.7,16.3,64.37%,65.18%
286/738,246/625,NO CHANGE,Frontenac,Kingston,6.6,66.00%,6.6,16.3,64.37%,65.18%
286/738,284/625,NO CHANGE,St Michael,Stratford,6.6,66.00%,6.4,16.3,64.37%,65.18%
286/738,284/625,NO CHANGE,Ursuline (The Pines),Chatham,6.6,66.00%,6.4,16.3,64.37%,65.18%
286/738,301/625,NO CHANGE,Essex,Essex,6.6,66.00%,6.3,16.3,64.37%,65.18%
286/738,301/625,NO CHANGE,St Marguerite d'Youville,Brampton,6.6,66.00%,6.3,16.3,64.37%,65.18%
286/738,314/625,NO CHANGE,Glengarry,Alexandria,6.6,66.00%,6.2,16.3,64.37%,65.18%
286/738,314/625,NO CHANGE,Notre Dame,Ajax,6.6,66.00%,6.2,16.3,64.37%,65.18%
286/738,440/625,NO CHANGE,Saint-François-Xavier,Sarnia,6.6,66.00%,5.3,16.3,64.37%,65.18%
286/738,526/625,NO CHANGE,Englehart,Englehart,6.6,66.00%,4.5,16.3,64.37%,65.18%
286/738,n/a,NO CHANGE,Mississauga,Mississauga,6.6,66.00%,n/a,16.3,64.37%,65.18%
286/738,n/a,NO CHANGE,Norval-Morrisseau,Richmond Hill,6.6,66.00%,n/a,16.3,64.37%,65.18%
305/738,100/625,NO CHANGE,E L Crossley,Fonthill,6.5,65.00%,7.5,16.3,64.37%,64.68%
305/738,114/625,NO CHANGE,General Amherst,Amherstburg,6.5,65.00%,7.4,16.3,64.37%,64.68%
305/738,184/625,DOWNTREND,Sir William Mulock,Newmarket,6.5,65.00%,7,16.3,64.37%,64.68%
305/738,229/625,NO CHANGE,Brockville,Brockville,6.5,65.00%,6.7,16.3,64.37%,64.68%
305/738,246/625,NO CHANGE,St Joseph's,Cornwall,6.5,65.00%,6.6,16.3,64.37%,64.68%
305/738,246/625,NO CHANGE,St Paul,Trenton,6.5,65.00%,6.6,16.3,64.37%,64.68%
305/738,284/625,NO CHANGE,Kitchener Waterloo,Kitchener,6.5,65.00%,6.4,16.3,64.37%,64.68%
305/738,284/625,NO CHANGE,Listowel,Listowel,6.5,65.00%,6.4,16.3,64.37%,64.68%
305/738,284/625,NO CHANGE,Walkerville,Windsor,6.5,65.00%,6.4,16.3,64.37%,64.68%
305/738,314/625,NO CHANGE,Hillcrest,Ottawa,6.5,65.00%,6.2,16.3,64.37%,64.68%
305/738,314/625,NO CHANGE,Marshall McLuhan,Toronto,6.5,65.00%,6.2,16.3,64.37%,64.68%
305/738,334/625,NO CHANGE,St Augustine,Brampton,6.5,65.00%,6.1,16.3,64.37%,64.68%
305/738,356/625,NO CHANGE,Holy Cross,Peterborough,6.5,65.00%,6,16.3,64.37%,64.68%
305/738,356/625,UPTREND,Monseigneur-Bruyère,London,6.5,65.00%,6,16.3,64.37%,64.68%
305/738,372/625,NO CHANGE,M M Robinson,Burlington,6.5,65.00%,5.9,16.3,64.37%,64.68%
305/738,372/625,NO CHANGE,Stephen Leacock,Toronto,6.5,65.00%,5.9,16.3,64.37%,64.68%
305/738,385/625,NO CHANGE,Monsignor Doyle,Cambridge,6.5,65.00%,5.8,16.3,64.37%,64.68%
305/738,385/625,NO CHANGE,Vankleek Hill,Vankleek Hill,6.5,65.00%,5.8,16.3,64.37%,64.68%
305/738,n/a,NO CHANGE,Mer Bleue,Orléans,6.5,65.00%,n/a,16.3,64.37%,64.68%
325/738,129/625,DOWNTREND,Loretto Abbey,Toronto,6.4,64.00%,7.3,16.3,64.37%,64.18%
325/738,148/625,DOWNTREND,Neil McNeil,Toronto,6.4,64.00%,7.2,16.3,64.37%,64.18%
325/738,229/625,NO CHANGE,Franco-Cité,Ottawa,6.4,64.00%,6.7,16.3,64.37%,64.18%
325/738,264/625,NO CHANGE,Father Bressani,Woodbridge,6.4,64.00%,6.5,16.3,64.37%,64.18%
325/738,284/625,NO CHANGE,Chaminade,Toronto,6.4,64.00%,6.4,16.3,64.37%,64.18%
325/738,314/625,NO CHANGE,Acton,Acton,6.4,64.00%,6.2,16.3,64.37%,64.18%
325/738,314/625,NO CHANGE,Collingwood,Collingwood,6.4,64.00%,6.2,16.3,64.37%,64.18%
325/738,314/625,NO CHANGE,Elliot Lake,Elliot Lake,6.4,64.00%,6.2,16.3,64.37%,64.18%
325/738,314/625,NO CHANGE,Georgian Bay,Meaford,6.4,64.00%,6.2,16.3,64.37%,64.18%
325/738,314/625,NO CHANGE,Grand River,Kitchener,6.4,64.00%,6.2,16.3,64.37%,64.18%
325/738,334/625,NO CHANGE,St Charles,Sudbury,6.4,64.00%,6.1,16.3,64.37%,64.18%
325/738,334/625,NO CHANGE,St Thomas Aquinas,Brampton,6.4,64.00%,6.1,16.3,64.37%,64.18%
325/738,356/625,NO CHANGE,St Benedict,Cambridge,6.4,64.00%,6,16.3,64.37%,64.18%
325/738,440/625,UPTREND,St Patrick's,Ottawa,6.4,64.00%,5.3,16.3,64.37%,64.18%
325/738,478/625,UPTREND,North Dundas,Chesterville,6.4,64.00%,5,16.3,64.37%,64.18%
325/738,n/a,NO CHANGE,Erindale,Mississauga,6.4,64.00%,n/a,16.3,64.37%,64.18%
325/738,n/a,NO CHANGE,Louise Arbour,Brampton,6.4,64.00%,n/a,16.3,64.37%,64.18%
325/738,n/a,NO CHANGE,Orillia,Orillia,6.4,64.00%,n/a,16.3,64.37%,64.18%
344/738,148/625,DOWNTREND,Harbord,Toronto,6.3,63.00%,7.2,16.3,64.37%,63.68%
344/738,163/625,DOWNTREND,North Grenville,Kemptville,6.3,63.00%,7.1,16.3,64.37%,63.68%
344/738,163/625,DOWNTREND,St. Michael,Bolton,6.3,63.00%,7.1,16.3,64.37%,63.68%
344/738,184/625,NO CHANGE,Lord Dorchester,Dorchester,6.3,63.00%,7,16.3,64.37%,63.68%
344/738,202/625,NO CHANGE,St Thomas Aquinas,Lindsay,6.3,63.00%,6.9,16.3,64.37%,63.68%
344/738,229/625,NO CHANGE,Bishop Smith,Pembroke,6.3,63.00%,6.7,16.3,64.37%,63.68%
344/738,229/625,NO CHANGE,Kingsville,Kingsville,6.3,63.00%,6.7,16.3,64.37%,63.68%
344/738,229/625,NO CHANGE,St Stephen's,Bowmanville,6.3,63.00%,6.7,16.3,64.37%,63.68%
344/738,246/625,DOWNTREND,Atikokan,Atikokan,6.3,63.00%,6.6,16.3,64.37%,63.68%
344/738,246/625,DOWNTREND,St Pius X,Ottawa,6.3,63.00%,6.6,16.3,64.37%,63.68%
344/738,246/625,NO CHANGE,St. Andre Bessette,London,6.3,63.00%,6.6,16.3,64.37%,63.68%
344/738,264/625,DOWNTREND,Father Michael Goetz,Mississauga,6.3,63.00%,6.5,16.3,64.37%,63.68%
344/738,264/625,NO CHANGE,St John,Perth,6.3,63.00%,6.5,16.3,64.37%,63.68%
344/738,264/625,NO CHANGE,St Paul,Ottawa,6.3,63.00%,6.5,16.3,64.37%,63.68%
344/738,284/625,NO CHANGE,Adam Scott,Peterborough,6.3,63.00%,6.4,16.3,64.37%,63.68%
344/738,284/625,NO CHANGE,Cardinal Leger,Brampton,6.3,63.00%,6.4,16.3,64.37%,63.68%
344/738,284/625,NO CHANGE,Leamington,Leamington,6.3,63.00%,6.4,16.3,64.37%,63.68%
344/738,284/625,NO CHANGE,St Joseph-Scollard Hall,North Bay,6.3,63.00%,6.4,16.3,64.37%,63.68%
344/738,301/625,NO CHANGE,Huron Heights,Kitchener,6.3,63.00%,6.3,16.3,64.37%,63.68%
344/738,314/625,NO CHANGE,Kincardine,Kincardine,6.3,63.00%,6.2,16.3,64.37%,63.68%
344/738,334/625,NO CHANGE,Gabriel-Dumont,London,6.3,63.00%,6.1,16.3,64.37%,63.68%
344/738,334/625,NO CHANGE,Hammarskjold,Thunder Bay,6.3,63.00%,6.1,16.3,64.37%,63.68%
344/738,334/625,NO CHANGE,Sir Oliver Mowat,Toronto,6.3,63.00%,6.1,16.3,64.37%,63.68%
344/738,356/625,NO CHANGE,West Ferris,North Bay,6.3,63.00%,6,16.3,64.37%,63.68%
344/738,372/625,NO CHANGE,West Humber,Toronto,6.3,63.00%,5.9,16.3,64.37%,63.68%
344/738,416/625,UPTREND,Archbishop Denis O'Connor,Ajax,6.3,63.00%,5.5,16.3,64.37%,63.68%
344/738,n/a,NO CHANGE,Abraar,Ottawa,6.3,63.00%,n/a,16.3,64.37%,63.68%
344/738,n/a,NO CHANGE,Fletcher's Meadow,Brampton,6.3,63.00%,n/a,16.3,64.37%,63.68%
344/738,n/a,NO CHANGE,Osgoode Township,Metcalfe,6.3,63.00%,n/a,16.3,64.37%,63.68%
373/738,163/625,DOWNTREND,St Martin,Mississauga,6.2,62.00%,7.1,16.3,64.37%,63.18%
373/738,214/625,NO CHANGE,St Maximilian Kolbe,Aurora,6.2,62.00%,6.8,16.3,64.37%,63.18%
373/738,246/625,NO CHANGE,Robert F Hall,Caledon East,6.2,62.00%,6.6,16.3,64.37%,63.18%
373/738,264/625,NO CHANGE,Holy Cross,Kingston,6.2,62.00%,6.5,16.3,64.37%,63.18%
373/738,264/625,DOWNTREND,King City,King City,6.2,62.00%,6.5,16.3,64.37%,63.18%
373/738,264/625,DOWNTREND,Saint Paul,Niagara Falls,6.2,62.00%,6.5,16.3,64.37%,63.18%
373/738,264/625,DOWNTREND,St Mary's,Kitchener,6.2,62.00%,6.5,16.3,64.37%,63.18%
373/738,301/625,NO CHANGE,Dr John M Denison,Newmarket,6.2,62.00%,6.3,16.3,64.37%,63.18%
373/738,301/625,NO CHANGE,North Park,Brantford,6.2,62.00%,6.3,16.3,64.37%,63.18%
373/738,314/625,NO CHANGE,Lakeshore,Port Colborne,6.2,62.00%,6.2,16.3,64.37%,63.18%
373/738,334/625,NO CHANGE,Huron Heights,Newmarket,6.2,62.00%,6.1,16.3,64.37%,63.18%
373/738,334/625,NO CHANGE,Patrick Fogarty,Orillia,6.2,62.00%,6.1,16.3,64.37%,63.18%
373/738,334/625,NO CHANGE,Southwood,Cambridge,6.2,62.00%,6.1,16.3,64.37%,63.18%
373/738,400/625,NO CHANGE,Holy Cross,Woodbridge,6.2,62.00%,5.7,16.3,64.37%,63.18%
373/738,558/625,NO CHANGE,Macdonald-Cartier,Sudbury,6.2,62.00%,4.1,16.3,64.37%,63.18%
390/738,229/625,NO CHANGE,Banting Memorial,Alliston,6.1,61.00%,6.7,16.3,64.37%,62.68%
390/738,246/625,NO CHANGE,St Patrick's,Sarnia,6.1,61.00%,6.6,16.3,64.37%,62.68%
390/738,264/625,NO CHANGE,Albert Campbell,Toronto,6.1,61.00%,6.5,16.3,64.37%,62.68%
390/738,264/625,DOWNTREND,Holy Trinity,Courtice,6.1,61.00%,6.5,16.3,64.37%,62.68%
390/738,264/625,NO CHANGE,St Mary's,Woodstock,6.1,61.00%,6.5,16.3,64.37%,62.68%
390/738,284/625,NO CHANGE,Denis Morris,St Catharines,6.1,61.00%,6.4,16.3,64.37%,62.68%
390/738,284/625,NO CHANGE,St Anne's,Clinton,6.1,61.00%,6.4,16.3,64.37%,62.68%
390/738,301/625,NO CHANGE,Westlane,Niagara Falls,6.1,61.00%,6.3,16.3,64.37%,62.68%
390/738,314/625,NO CHANGE,Monarch Park,Toronto,6.1,61.00%,6.2,16.3,64.37%,62.68%
390/738,314/625,NO CHANGE,Sydenham,Sydenham,6.1,61.00%,6.2,16.3,64.37%,62.68%
390/738,334/625,NO CHANGE,Plantagenet,Plantagenet,6.1,61.00%,6.1,16.3,64.37%,62.68%
390/738,356/625,NO CHANGE,de Casselman,Casselman,6.1,61.00%,6,16.3,64.37%,62.68%
390/738,356/625,NO CHANGE,Deslauriers,Nepean,6.1,61.00%,6,16.3,64.37%,62.68%
390/738,372/625,NO CHANGE,Goderich,Goderich,6.1,61.00%,5.9,16.3,64.37%,62.68%
390/738,385/625,NO CHANGE,Saltfleet,Stoney Creek,6.1,61.00%,5.8,16.3,64.37%,62.68%
390/738,410/625,NO CHANGE,Catholic Central,London,6.1,61.00%,5.6,16.3,64.37%,62.68%
390/738,416/625,UPTREND,Carleton Place,Carleton Place,6.1,61.00%,5.5,16.3,64.37%,62.68%
390/738,416/625,NO CHANGE,Nantyr Shores,Innisfil,6.1,61.00%,5.5,16.3,64.37%,62.68%
390/738,440/625,NO CHANGE,Hawkesbury,Hawkesbury,6.1,61.00%,5.3,16.3,64.37%,62.68%
390/738,467/625,NO CHANGE,Lester B Pearson,Gloucester,6.1,61.00%,5.1,16.3,64.37%,62.68%
390/738,n/a,NO CHANGE,Central Peel,Brampton,6.1,61.00%,n/a,16.3,64.37%,62.68%
390/738,n/a,NO CHANGE,Clarkson,Mississauga,6.1,61.00%,n/a,16.3,64.37%,62.68%
390/738,n/a,NO CHANGE,Gordon Graydon,Mississauga,6.1,61.00%,n/a,16.3,64.37%,62.68%
390/738,n/a,NO CHANGE,Huntsville,Huntsville,6.1,61.00%,n/a,16.3,64.37%,62.68%
414/738,148/625,DOWNTREND,Kingston,Kingston,6,60.00%,7.2,16.3,64.37%,62.18%
414/738,229/625,NO CHANGE,Bradford,Bradford,6,60.00%,6.7,16.3,64.37%,62.18%
414/738,264/625,NO CHANGE,Assumption,Brantford,6,60.00%,6.5,16.3,64.37%,62.18%
414/738,301/625,DOWNTREND,Chatham-Kent,Chatham,6,60.00%,6.3,16.3,64.37%,62.18%
414/738,314/625,NO CHANGE,Barrie North,Barrie,6,60.00%,6.2,16.3,64.37%,62.18%
414/738,314/625,NO CHANGE,Bowmanville,Bowmanville,6,60.00%,6.2,16.3,64.37%,62.18%
414/738,314/625,NO CHANGE,MacKenzie,Deep River,6,60.00%,6.2,16.3,64.37%,62.18%
414/738,334/625,NO CHANGE,Bear Creek,Barrie,6,60.00%,6.1,16.3,64.37%,62.18%
414/738,356/625,NO CHANGE,Ascension of Our Lord,Mississauga,6,60.00%,6,16.3,64.37%,62.18%
414/738,356/625,NO CHANGE,John Diefenbaker,Hanover,6,60.00%,6,16.3,64.37%,62.18%
414/738,460/625,UPTREND,Blessed Mother Teresa,Toronto,6,60.00%,5.2,16.3,64.37%,62.18%
414/738,467/625,NO CHANGE,Westminster,London,6,60.00%,5.1,16.3,64.37%,62.18%
414/738,496/625,NO CHANGE,East York,Toronto,6,60.00%,4.8,16.3,64.37%,62.18%
414/738,n/a,NO CHANGE,O'Neill,Oshawa,6,60.00%,n/a,16.3,64.37%,62.18%
414/738,n/a,NO CHANGE,Port Perry,Port Perry,6,60.00%,n/a,16.3,64.37%,62.18%
430/738,334/625,NO CHANGE,East Northumberland,Brighton,5.9,59.00%,6.1,16.3,64.37%,61.68%
430/738,334/625,NO CHANGE,Embrun,Embrun,5.9,59.00%,6.1,16.3,64.37%,61.68%
430/738,334/625,NO CHANGE,Strathroy District,Strathroy,5.9,59.00%,6.1,16.3,64.37%,61.68%
430/738,356/625,NO CHANGE,St Mary,Pickering,5.9,59.00%,6,16.3,64.37%,61.68%
430/738,372/625,NO CHANGE,St Marys,St Marys,5.9,59.00%,5.9,16.3,64.37%,61.68%
430/738,385/625,NO CHANGE,Brebeuf,Toronto,5.9,59.00%,5.8,16.3,64.37%,61.68%
430/738,400/625,NO CHANGE,Campbellford,Campbellford,5.9,59.00%,5.7,16.3,64.37%,61.68%
430/738,410/625,NO CHANGE,Riverside,Windsor,5.9,59.00%,5.6,16.3,64.37%,61.68%
430/738,489/625,NO CHANGE,Red Lake,Red Lake,5.9,59.00%,4.9,16.3,64.37%,61.68%
430/738,n/a,NO CHANGE,Georges Vanier,Toronto,5.9,59.00%,n/a,16.3,64.37%,61.68%
430/738,n/a,NO CHANGE,Pine Ridge,Pickering,5.9,59.00%,n/a,16.3,64.37%,61.68%
443/738,163/625,DOWNTREND,Blessed Trinity,Grimsby,5.8,58.00%,7.1,16.3,64.37%,61.18%
443/738,214/625,DOWNTREND,South Huron,Exeter,5.8,58.00%,6.8,16.3,64.37%,61.18%
443/738,229/625,DOWNTREND,St James,Guelph,5.8,58.00%,6.7,16.3,64.37%,61.18%
443/738,246/625,NO CHANGE,Roméo Dallaire,Barrie,5.8,58.00%,6.6,16.3,64.37%,61.18%
443/738,264/625,DOWNTREND,Bayside,Belleville,5.8,58.00%,6.5,16.3,64.37%,61.18%
443/738,264/625,NO CHANGE,Central Elgin,St Thomas,5.8,58.00%,6.5,16.3,64.37%,61.18%
443/738,284/625,NO CHANGE,St Mary,Cobourg,5.8,58.00%,6.4,16.3,64.37%,61.18%
443/738,334/625,NO CHANGE,Jean Vanier,Collingwood,5.8,58.00%,6.1,16.3,64.37%,61.18%
443/738,334/625,NO CHANGE,Pope John Paul II,Toronto,5.8,58.00%,6.1,16.3,64.37%,61.18%
443/738,356/625,NO CHANGE,Franco-Cité,Sturgeon Falls,5.8,58.00%,6,16.3,64.37%,61.18%
443/738,385/625,NO CHANGE,Mère-Teresa,Hamilton,5.8,58.00%,5.8,16.3,64.37%,61.18%
443/738,400/625,NO CHANGE,Nouvelle-Alliance,Barrie,5.8,58.00%,5.7,16.3,64.37%,61.18%
443/738,416/625,UPTREND,Perth and District,Perth,5.8,58.00%,5.5,16.3,64.37%,61.18%
443/738,426/625,NO CHANGE,Clarington Central,Bowmanville,5.8,58.00%,5.4,16.3,64.37%,61.18%
443/738,440/625,UPTREND,Cayuga,Cayuga,5.8,58.00%,5.3,16.3,64.37%,61.18%
443/738,440/625,NO CHANGE,North Middlesex,Parkhill,5.8,58.00%,5.3,16.3,64.37%,61.18%
443/738,540/625,UPTREND,Le Caron,Penetanguishene,5.8,58.00%,4.4,16.3,64.37%,61.18%
443/738,n/a,NO CHANGE,I E Weldon,Lindsay,5.8,58.00%,n/a,16.3,64.37%,61.18%
461/738,301/625,DOWNTREND,Notre Dame,Welland,5.7,57.00%,6.3,16.3,64.37%,60.68%
461/738,314/625,DOWNTREND,Innisdale,Barrie,5.7,57.00%,6.2,16.3,64.37%,60.68%
461/738,334/625,NO CHANGE,Lambton Central,Petrolia,5.7,57.00%,6.1,16.3,64.37%,60.68%
461/738,385/625,NO CHANGE,Glendale,Tillsonburg,5.7,57.00%,5.8,16.3,64.37%,60.68%
461/738,385/625,NO CHANGE,Jacob Hespeler,Cambridge,5.7,57.00%,5.8,16.3,64.37%,60.68%
461/738,385/625,NO CHANGE,London South,London,5.7,57.00%,5.8,16.3,64.37%,60.68%
461/738,416/625,NO CHANGE,Superior CVI,Thunder Bay,5.7,57.00%,5.5,16.3,64.37%,60.68%
461/738,426/625,NO CHANGE,Opeongo,Douglas,5.7,57.00%,5.4,16.3,64.37%,60.68%
461/738,426/625,NO CHANGE,St Dominic,Bracebridge,5.7,57.00%,5.4,16.3,64.37%,60.68%
461/738,440/625,NO CHANGE,Monsignor Paul Dwyer,Oshawa,5.7,57.00%,5.3,16.3,64.37%,60.68%
461/738,467/625,UPTREND,Glenview Park,Cambridge,5.7,57.00%,5.1,16.3,64.37%,60.68%
461/738,507/625,NO CHANGE,Greater Fort Erie,Fort Erie,5.7,57.00%,4.7,16.3,64.37%,60.68%
461/738,519/625,UPTREND,Danforth,Toronto,5.7,57.00%,4.6,16.3,64.37%,60.68%
461/738,526/625,UPTREND,Sacré-Coeur,Sudbury,5.7,57.00%,4.5,16.3,64.37%,60.68%
461/738,n/a,NO CHANGE,Ajax,Ajax,5.7,57.00%,n/a,16.3,64.37%,60.68%
461/738,n/a,NO CHANGE,The Humberview,Bolton,5.7,57.00%,n/a,16.3,64.37%,60.68%
477/738,301/625,NO CHANGE,Crestwood,Peterborough,5.6,56.00%,6.3,16.3,64.37%,60.18%
477/738,301/625,NO CHANGE,St Thomas Aquinas,Kenora,5.6,56.00%,6.3,16.3,64.37%,60.18%
477/738,356/625,NO CHANGE,Bishop Ryan,Hamilton,5.6,56.00%,6,16.3,64.37%,60.18%
477/738,372/625,NO CHANGE,Paris,Paris,5.6,56.00%,5.9,16.3,64.37%,60.18%
477/738,400/625,NO CHANGE,St Jean de Brebeuf,Woodbridge,5.6,56.00%,5.7,16.3,64.37%,60.18%
477/738,410/625,NO CHANGE,Delhi,Delhi,5.6,56.00%,5.6,16.3,64.37%,60.18%
477/738,416/625,NO CHANGE,Wexford Collegiate-Arts,Toronto,5.6,56.00%,5.5,16.3,64.37%,60.18%
477/738,426/625,NO CHANGE,Algonquin,North Bay,5.6,56.00%,5.4,16.3,64.37%,60.18%
477/738,440/625,NO CHANGE,Almonte,Almonte,5.6,56.00%,5.3,16.3,64.37%,60.18%
477/738,440/625,NO CHANGE,St Basil The Great,Toronto,5.6,56.00%,5.3,16.3,64.37%,60.18%
477/738,440/625,NO CHANGE,Timiskaming District,New Liskeard,5.6,56.00%,5.3,16.3,64.37%,60.18%
477/738,478/625,UPTREND,Kenner,Peterborough,5.6,56.00%,5,16.3,64.37%,60.18%
477/738,496/625,NO CHANGE,Woodstock,Woodstock,5.6,56.00%,4.8,16.3,64.37%,60.18%
477/738,n/a,NO CHANGE,Brock,Cannington,5.6,56.00%,n/a,16.3,64.37%,60.18%
477/738,n/a,NO CHANGE,David Suzuki,Brampton,5.6,56.00%,n/a,16.3,64.37%,60.18%
492/738,163/625,DOWNTREND,Delphi Alternative,Toronto,5.5,55.00%,7.1,16.3,64.37%,59.68%
492/738,246/625,DOWNTREND,La Salle,Kingston,5.5,55.00%,6.6,16.3,64.37%,59.68%
492/738,356/625,NO CHANGE,Jean-Vanier,Welland,5.5,55.00%,6,16.3,64.37%,59.68%
492/738,372/625,DOWNTREND,Simcoe,Simcoe,5.5,55.00%,5.9,16.3,64.37%,59.68%
492/738,385/625,NO CHANGE,St Patrick,Thunder Bay,5.5,55.00%,5.8,16.3,64.37%,59.68%
492/738,416/625,NO CHANGE,de la Verendrye,Thunder Bay,5.5,55.00%,5.5,16.3,64.37%,59.68%
492/738,416/625,NO CHANGE,St Joseph's,Barrie,5.5,55.00%,5.5,16.3,64.37%,59.68%
492/738,426/625,NO CHANGE,Huron Park,Woodstock,5.5,55.00%,5.4,16.3,64.37%,59.68%
492/738,426/625,NO CHANGE,Ingersoll District,Ingersoll,5.5,55.00%,5.4,16.3,64.37%,59.68%
492/738,426/625,NO CHANGE,Lambton Kent,Dresden,5.5,55.00%,5.4,16.3,64.37%,59.68%
492/738,n/a,NO CHANGE,Haliburton Highland,Haliburton,5.5,55.00%,n/a,16.3,64.37%,59.68%
492/738,n/a,NO CHANGE,Sandalwood Heights,Brampton,5.5,55.00%,n/a,16.3,64.37%,59.68%
492/738,n/a,NO CHANGE,Sudbury,Sudbury,5.5,55.00%,n/a,16.3,64.37%,59.68%
505/738,301/625,NO CHANGE,Étienne-Brûlé,Toronto,5.4,54.00%,6.3,16.3,64.37%,59.18%
505/738,314/625,NO CHANGE,Bayridge,Kingston,5.4,54.00%,6.2,16.3,64.37%,59.18%
505/738,334/625,NO CHANGE,Norwell,Palmerston,5.4,54.00%,6.1,16.3,64.37%,59.18%
505/738,400/625,DOWNTREND,St Thomas More,Hamilton,5.4,54.00%,5.7,16.3,64.37%,59.18%
505/738,410/625,NO CHANGE,St Jean de Brebeuf,Hamilton,5.4,54.00%,5.6,16.3,64.37%,59.18%
